study,size,T,dep_density,budget_tightness,deadline_pressure,t_crqc,risk_form,residual_factor,n_instances,n_optimal,frac_proven_optimal,frac_feasible_not_proven,mean_infeasible_resamples,opt_walltime_mean,opt_walltime_max,highest_risk_gap_mean,highest_risk_gap_lo,highest_risk_gap_hi,highest_risk_n_gap,highest_risk_feasible_rate,risk_per_cost_gap_mean,risk_per_cost_gap_lo,risk_per_cost_gap_hi,risk_per_cost_n_gap,risk_per_cost_feasible_rate,edf_gap_mean,edf_gap_lo,edf_gap_hi,edf_n_gap,edf_feasible_rate,spt_gap_mean,spt_gap_lo,spt_gap_hi,spt_n_gap,spt_feasible_rate,random_gap_mean,random_gap_lo,random_gap_hi,random_n_gap,random_feasible_rate
main,45,20,0.1,0.4,0.1,13,step,0.1,30,30,1.0,0.0,0.0,0.319,0.773,0.82116,0.67156,0.97083,30,1.0,0.6116,0.51226,0.72876,30,1.0,2.00426,1.65916,2.37323,30,1.0,1.68969,1.40332,2.05139,30,1.0,2.23186,1.86651,2.64257,30,1.0
main,45,20,0.1,0.4,0.4,13,step,0.1,30,30,1.0,0.0,0.0,0.309,0.776,0.82116,0.67156,0.97083,30,1.0,0.6116,0.51226,0.72876,30,1.0,1.92939,1.6276,2.27394,30,1.0,1.68969,1.40332,2.05139,30,1.0,2.23186,1.86651,2.64257,30,1.0
main,45,20,0.1,0.4,0.8,13,step,0.1,30,30,1.0,0.0,0.0,0.297,1.073,0.81609,0.66805,0.97938,29,0.9667,0.60759,0.50055,0.73327,29,0.9667,2.19255,1.80472,2.61302,30,1.0,1.74729,1.3743,2.23045,23,0.7667,2.27143,1.86902,2.71855,27,0.9
main,45,20,0.1,0.6,0.1,13,step,0.1,30,30,1.0,0.0,0.033,1.633,7.004,0.73544,0.6339,0.84456,30,1.0,0.59861,0.51881,0.68788,30,1.0,1.97168,1.62305,2.3887,30,1.0,1.88651,1.5884,2.25502,30,1.0,2.24826,1.90402,2.64791,30,1.0
main,45,20,0.1,0.6,0.4,13,step,0.1,30,30,1.0,0.0,0.033,1.604,5.06,0.73544,0.6339,0.84456,30,1.0,0.59861,0.51881,0.68788,30,1.0,1.93433,1.63771,2.29017,30,1.0,1.88651,1.5884,2.25502,30,1.0,2.24826,1.90402,2.64791,30,1.0
main,45,20,0.1,0.6,0.8,13,step,0.1,30,30,1.0,0.0,0.033,1.419,4.717,0.53184,0.43276,0.63092,2,0.0667,0.47327,0.31027,0.63628,5,0.1667,2.11726,1.72692,2.46657,16,0.5333,1.57647,1.1983,1.8429,3,0.1,1.60225,1.19441,2.07055,5,0.1667
main,45,20,0.1,0.8,0.1,13,step,0.1,30,30,1.0,0.0,0.333,4.726,25.01,0.58991,0.51471,0.66828,30,1.0,0.53907,0.46332,0.6248,30,1.0,1.60028,1.36528,1.88603,30,1.0,1.69509,1.50522,1.93466,27,0.9,1.69505,1.514,1.89581,30,1.0
main,45,20,0.1,0.8,0.4,13,step,0.1,30,30,1.0,0.0,0.4,7.87,33.429,0.61347,0.53772,0.68583,25,0.8333,0.53837,0.46838,0.6117,23,0.7667,1.56355,1.33183,1.83005,26,0.8667,1.81376,1.5353,2.1502,13,0.4333,1.77367,1.56271,1.99468,26,0.8667
main,45,20,0.1,0.8,0.8,13,step,0.1,30,30,1.0,0.0,0.467,5.916,14.955,0.39989,0.39989,0.39989,1,0.0333,0.46772,0.46772,0.46772,1,0.0333,1.46528,1.05607,1.8745,4,0.1333,,,,0,0.0,,,,0,0.0
main,45,20,0.1,0.95,0.1,13,step,0.1,21,21,1.0,0.0,0.524,6.821,16.618,0.48976,0.40541,0.58349,21,1.0,0.47142,0.41206,0.52879,20,0.9524,1.40599,1.10952,1.7691,20,0.9524,1.2336,1.05699,1.38154,9,0.4286,1.41136,1.19284,1.63197,19,0.9048
main,45,20,0.1,0.95,0.4,13,step,0.1,18,18,1.0,0.0,0.667,8.321,36.128,0.66616,0.52602,0.81501,5,0.2778,0.55606,0.50679,0.60585,7,0.3889,1.13025,0.98242,1.29799,12,0.6667,1.89107,1.1135,3.22298,3,0.1667,1.21218,1.04176,1.37214,6,0.3333
main,45,20,0.1,0.95,0.8,13,step,0.1,18,17,0.9444,0.0556,0.778,6.908,40.016,,,,0,0.0,,,,0,0.0,1.1414,0.64448,1.83697,3,0.1667,,,,0,0.0,,,,0,0.0
