study,size,T,dep_density,budget_tightness,deadline_pressure,t_crqc,risk_form,residual_factor,cluster_frac,delayed_frac,index,instance_seed,n_resamples_infeasible,realized_tightness,n_deps,n_mandated,n_clusters,opt_status,opt_risk,opt_cost,opt_bound,opt_mipgap,opt_walltime,opt_nvars,highest_risk_risk,highest_risk_cost,highest_risk_feasible,highest_risk_ddlviol,highest_risk_gap,risk_per_cost_risk,risk_per_cost_cost,risk_per_cost_feasible,risk_per_cost_ddlviol,risk_per_cost_gap,edf_risk,edf_cost,edf_feasible,edf_ddlviol,edf_gap,spt_risk,spt_cost,spt_feasible,spt_ddlviol,spt_gap,random_risk,random_cost,random_feasible,random_ddlviol,random_gap
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,0,1000,0,0.3931,15,11,2,OPTIMAL,331,228,331.0,0.0,0.202,872,500,228,1,0,0.510574,510,228,1,0,0.540785,735,228,1,0,1.220544,976,228,1,0,1.94864,1496,228,1,0,3.519637
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,1,8919,0,0.386,20,10,2,OPTIMAL,607,193,607.0,0.0,0.54,856,950,193,1,0,0.565074,947,193,1,0,0.560132,1173,193,1,0,0.932455,1242,193,1,0,1.046129,1100,193,1,0,0.812191
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,2,16838,0,0.3875,14,10,2,OPTIMAL,247,217,247.0,0.0,0.081,863,290,217,1,0,0.174089,295,217,1,0,0.194332,1469,217,1,0,4.947368,1214,217,1,0,3.91498,888,217,1,0,2.595142
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,3,24757,0,0.394,16,10,2,OPTIMAL,593,197,593.0,0.0,0.497,865,1044,197,1,0,0.76054,1045,197,1,0,0.762226,1665,197,1,0,1.807757,1349,197,1,0,1.274874,1505,197,1,0,1.537943
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,4,32676,0,0.3897,19,10,2,OPTIMAL,209,226,209.0,0.0,0.246,873,596,226,1,0,1.851675,547,226,1,0,1.617225,1081,226,1,0,4.172249,1373,226,1,0,5.569378,1387,226,1,0,5.636364
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,5,40595,0,0.4,15,11,2,OPTIMAL,387,216,387.0,0.0,0.229,870,992,216,1,0,1.563307,682,216,1,0,0.762274,1414,216,1,0,2.653747,980,216,1,0,1.5323,1493,216,1,0,2.857881
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,6,48514,0,0.4,16,10,2,OPTIMAL,685,216,685.0,0.0,0.266,876,1315,216,1,0,0.919708,1203,216,1,0,0.756204,1755,216,1,0,1.562044,1833,216,1,0,1.675912,2167,216,1,0,2.163504
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,7,56433,0,0.4,14,10,2,OPTIMAL,542,192,542.0,0.0,0.192,871,824,192,1,0,0.520295,665,192,1,0,0.226937,2246,192,1,0,3.143911,1435,192,1,0,1.647601,1637,192,1,0,2.020295
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,8,64352,0,0.3964,17,11,2,OPTIMAL,376,222,376.0,0.0,0.368,872,841,222,1,0,1.236702,590,222,1,0,0.569149,1026,222,1,0,1.728723,1019,222,1,0,1.710106,1263,222,1,0,2.359043
main,45,20,0.1,0.4,0.1,13,step,0.1,0.1,0.15,9,72271,0,0.3907,15,11,2,OPTIMAL,513,211,513.0,0.0,0.133,860,895,211,1,0,0.744639,781,211,1,0,0.522417,1871,211,1,0,2.647173,1214,211,1,0,1.366472,1794,211,1,0,2.497076
