size,dep_density,budget_tightness,deadline_pressure,instance_seed,opt_risk,current_risk_risk,current_risk_feasible,current_risk_gap
45,0.1,0.4,0.1,1000,331,517,1,0.561934
45,0.1,0.4,0.1,8919,607,780,1,0.285008
45,0.1,0.4,0.1,16838,247,272,1,0.101215
45,0.1,0.4,0.1,24757,593,858,1,0.44688
45,0.1,0.4,0.1,32676,209,411,1,0.966507
45,0.1,0.4,0.1,40595,387,803,1,1.074935
45,0.1,0.4,0.1,48514,685,1224,1,0.786861
45,0.1,0.4,0.1,56433,542,645,1,0.190037
45,0.1,0.4,0.1,64352,376,658,1,0.75
45,0.1,0.4,0.1,72271,513,815,1,0.588694
45,0.1,0.4,0.1,80190,757,1373,1,0.813738
45,0.1,0.4,0.1,88109,214,441,1,1.060748
45,0.1,0.4,0.1,96028,420,473,1,0.12619
45,0.1,0.4,0.1,103947,283,479,1,0.69258
45,0.1,0.4,0.1,111866,589,1044,1,0.772496
45,0.1,0.4,0.1,119785,951,1701,1,0.788644
45,0.1,0.4,0.1,127704,385,578,1,0.501299
45,0.1,0.4,0.1,135623,907,1387,1,0.529217
45,0.1,0.4,0.1,143542,543,626,1,0.152855
45,0.1,0.4,0.1,151461,785,1184,1,0.50828
45,0.1,0.4,0.1,159380,732,1065,1,0.454918
45,0.1,0.4,0.1,167299,477,1055,1,1.21174
45,0.1,0.4,0.1,175218,387,564,1,0.457364
45,0.1,0.4,0.1,183137,961,1090,1,0.134235
45,0.1,0.4,0.1,191056,447,772,1,0.727069
45,0.1,0.4,0.1,198975,489,911,1,0.862986
45,0.1,0.4,0.1,206894,564,731,1,0.296099
45,0.1,0.4,0.1,214813,462,801,1,0.733766
45,0.1,0.4,0.1,222732,654,873,1,0.334862
45,0.1,0.4,0.1,230651,527,733,1,0.390892
45,0.1,0.4,0.4,1000,331,517,1,0.561934
45,0.1,0.4,0.4,8919,607,780,1,0.285008
45,0.1,0.4,0.4,16838,247,272,1,0.101215
45,0.1,0.4,0.4,24757,593,858,1,0.44688
45,0.1,0.4,0.4,32676,209,411,1,0.966507
45,0.1,0.4,0.4,40595,387,803,1,1.074935
45,0.1,0.4,0.4,48514,685,1224,1,0.786861
45,0.1,0.4,0.4,56433,542,645,1,0.190037
45,0.1,0.4,0.4,64352,376,658,1,0.75
45,0.1,0.4,0.4,72271,513,815,1,0.588694
45,0.1,0.4,0.4,80190,757,1373,1,0.813738
45,0.1,0.4,0.4,88109,214,441,1,1.060748
45,0.1,0.4,0.4,96028,420,473,1,0.12619
45,0.1,0.4,0.4,103947,283,479,1,0.69258
45,0.1,0.4,0.4,111866,589,1044,1,0.772496
45,0.1,0.4,0.4,119785,951,1701,1,0.788644
45,0.1,0.4,0.4,127704,385,578,1,0.501299
45,0.1,0.4,0.4,135623,907,1387,1,0.529217
45,0.1,0.4,0.4,143542,543,626,1,0.152855
45,0.1,0.4,0.4,151461,785,1184,1,0.50828
45,0.1,0.4,0.4,159380,732,1065,1,0.454918
45,0.1,0.4,0.4,167299,477,1055,1,1.21174
45,0.1,0.4,0.4,175218,387,564,1,0.457364
45,0.1,0.4,0.4,183137,961,1090,1,0.134235
45,0.1,0.4,0.4,191056,447,772,1,0.727069
